Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
I. Pettersson,21,Sweden,IFK Norrköping,Left,13,10,58,17
C. Evans,27,Northern Ireland,Blackburn Rovers,Right,56,54,64,68
A. Richards,27,Wales,Cardiff City,Right,68,65,66,56
S. Dursun,26,Germany,SV Darmstadt 98,Right,48,64,44,69
R. Leipertz,25,Germany,FC Ingolstadt 04,Left,63,69,53,70
R. Pasveer,34,Netherlands,Vitesse,Right,15,11,36,26
D. Daube,28,Germany,KFC Uerdingen 05,Right,69,70,67,61
Iñaki Astiz,34,Spain,Legia Warszawa,Right,39,32,52,37
S. Bigalke,28,Germany,SpVgg Unterhaching,Right,67,73,55,66
M. Silvestri,27,Italy,Hellas Verona,Right,12,18,20,16
S. Muwashar,29,Saudi Arabia,Al Ahli,Right,66,70,58,71
A. Powell,23,Jamaica,Portland Timbers,Right,59,72,55,62
P. Kirkevold,27,Norway,Hobro IK,Left,64,65,58,72
S. Roudet,37,France,Valenciennes FC,Left,71,68,71,64
S. Gonther,31,Germany,SG Dynamo Dresden,Right,40,32,46,54
I. Ghaleb,27,Saudi Arabia,Al Nassr,Right,66,69,68,64
P. Sotiriou,25,Cyprus,FC København,Right,30,67,52,70
W. Faes,20,Belgium,KV Oostende,Right,31,52,64,46
S. Tecl,27,Czech Republic,SK Slavia Praha,Right,53,66,43,53
M. Guanini,22,Argentina,Gimnasia y Esgrima La Plata,Right,36,34,49,41
J. Brix-Damborg,32,Denmark,Hobro IK,Right,56,45,59,60
M. de los Santos,25,Uruguay,Millonarios FC,Right,32,35,46,57
F. Andrada,24,Argentina,Unión de Santa Fe,Right,58,66,59,76
Z. Youssouf,18,France,FC Girondins de Bordeaux,Left,62,73,69,72
S. Ciss,29,Senegal,Angers SCO,Left,70,70,61,68
S. Mockenhaupt,26,Germany,SV Wehen Wiesbaden,Right,38,44,44,49
N. Cozza,19,France,Montpellier HSC,Left,66,64,64,45
M. Valoti,24,Italy,SPAL,Right,72,74,72,64
Y. Salmier,25,France,ESTAC Troyes,Right,22,29,34,39
C. Benschop,28,Curacao,FC Ingolstadt 04,Right,58,64,58,83
Gégé,30,Cape Verde,Al Fayha,Right,61,50,50,44
L. Morosini,22,Italy,Brescia,Right,62,71,64,65
Sandeiro Leal,30,Brazil,Paraná,Right,55,68,71,75
M. Pongračić,20,Croatia,FC Red Bull Salzburg,Right,27,62,59,40
L. Ibáñez,29,Argentina,Trabzonspor,Left,70,73,67,83
M. O'Halloran,27,Scotland,Melbourne City FC,Right,66,69,52,70
M. van Duinen,26,Netherlands,PEC Zwolle,Right,63,64,60,67
R. Zwinkels,35,Netherlands,ADO Den Haag,Right,15,12,30,29
F. Mazzeo,34,Italy,Foggia,Left,56,68,54,70
C. Auzqui,27,Argentina,Club Atlético Huracán,Right,64,67,64,71
J. Quintero,23,Colombia,Deportivo Cali,Right,26,36,54,40
B. Watson,32,England,Nottingham Forest,Right,69,64,70,73
Gustavo Cascardo,21,Brazil,Vitória de Setúbal,Right,70,67,60,66
T. Bradshaw,25,Wales,Millwall,Right,42,63,36,64
J. Pelupessy,25,Netherlands,Sheffield Wednesday,Right,53,60,60,53
J. Fojut,30,Poland,Pogoń Szczecin,Right,41,28,61,68
M. Brighi,37,Italy,Empoli,Right,64,66,70,70
L. Boussaha,30,France,Grenoble Foot 38,Right,56,67,50,73
D. Bomheuer,27,Germany,MSV Duisburg,Right,38,51,58,45
B. Sangaré,32,Ivory Coast,,Right,14,19,25,19
Y. Cabral,26,Argentina,Atlético Tucumán,Right,33,44,56,40
S. Breitkreuz,26,Germany,FC Erzgebirge Aue,Right,40,50,46,75
K. Rowe,26,United States,New England Revolution,Right,73,70,66,79
Roldão Riso,26,Brazil,Grêmio,Right,65,62,71,53
C. Rizzuto,26,Germany,FC Erzgebirge Aue,Right,70,64,58,55
D. van Mieghem,28,Netherlands,De Graafschap,Left,65,68,60,62
A. El Messaoudi,22,Morocco,Fortuna Sittard,Right,42,61,67,77
Y. Cabrera,27,Colombia,América de Cali,Left,43,71,63,58
S. Ay,26,Turkey,Atiker Konyaspor,Right,49,42,59,64
A. Gojak,21,Bosnia Herzegovina,Dinamo Zagreb,Right,46,63,69,68
L. Gülen,24,Switzerland,Kayserispor,Right,38,58,60,42
N. Eliasson,22,Sweden,Bristol City,Left,77,71,51,55
Y. Komai,26,Japan,Hokkaido Consadole Sapporo,Right,71,69,52,65
S. Marinos,30,Greece,Sporting de Charleroi,Right,67,59,65,67
D. Verhulst,30,Belgium,Sporting Lokeren,Right,12,14,26,13
Núrio,23,Angola,Sporting de Charleroi,Left,71,70,57,70
S. Sparagna,23,France,Boavista FC,Right,33,36,60,49
H. Halldórsson,34,Iceland,,Right,18,10,26,48
M. Prietl,26,Austria,DSC Arminia Bielefeld,Right,46,58,60,53
Nono,27,Spain,AD Alcorcón,Right,68,68,63,73
J. Berget,27,Norway,New York City FC,Right,62,64,65,74
M. Jacobs,26,England,Wigan Athletic,Right,68,67,65,64
J. Brillante,25,Australia,Sydney FC,Right,62,63,65,61
P. van Anholt,27,Netherlands,NAC Breda,Right,64,69,69,79
P. Ziereis,25,Germany,FC St. Pauli,Right,57,54,55,40
R. Bezjak,29,Slovenia,Jagiellonia Białystok,Right,64,66,52,70
A. Vega,20,Mexico,Deportivo Toluca,Right,59,71,51,66
S. Bentivoglio,33,Italy,Venezia FC,Right,61,60,70,72
Juan Muñoz,22,Spain,AD Alcorcón,Right,52,67,41,72
Linares,35,Spain,CF Reus Deportiu,Right,45,62,45,71
S. De Petter,32,Belgium,Sint-Truidense VV,Left,54,47,53,58
Renatao Baumer,34,Brazil,Vitória,Left,70,56,64,57
A. Ivan,21,Romania,SK Rapid Wien,Right,58,72,56,73
I. Šunjić,21,Croatia,Dinamo Zagreb,Right,49,59,66,59
S. Andrist,30,Switzerland,SV Wehen Wiesbaden,Right,64,72,52,68
Q. Cornette,24,France,Amiens SC,Right,63,73,61,74
Carvamelinho,34,Brazil,Grêmio,Right,75,63,77,64
R. Oudin,21,France,Stade de Reims,Left,75,69,48,72
C. Stengs,19,Netherlands,AZ Alkmaar,Left,65,76,71,58
I. González,33,Mexico,Club León,Left,47,48,53,42
S. Dallas,27,Northern Ireland,Leeds United,Right,66,70,60,68
S. Walsh,23,Netherlands,SV Zulte-Waregem,Right,65,63,62,44
U. Radaković,24,Serbia,Sparta Praha,Right,36,37,63,48
P. Schobesberger,24,Austria,SK Rapid Wien,Right,66,66,60,61
Jaimosa Cavaco,30,Brazil,Vitória,Right,72,50,47,43
M. Turner,24,United States,New England Revolution,Right,13,16,29,23
Alfaro,31,Spain,Córdoba CF,Right,75,71,70,66
M. Havel,23,Czech Republic,Viktoria Plzeň,Right,72,50,26,29
J. Hegeler,30,Germany,Bristol City,Right,62,65,70,70
M. Fares,22,Algeria,SPAL,Left,70,75,60,68
C. Techera,26,Uruguay,Vancouver Whitecaps FC,Left,70,70,56,70
F. Tomori,20,England,Derby County,Right,56,62,48,41
H. Takahashi,30,Japan,Sagan Tosu,Right,53,54,63,52
A. Rivas,33,Colombia,América de Cali,Right,65,65,71,67
J. Mosquera,28,Colombia,Deportivo Cali,Left,65,72,55,67
A. Linde,24,Sweden,Molde FK,Right,16,20,18,21
C. Bonilla,25,Colombia,Al Fayha,Right,20,12,17,17
Diego Capel,30,Spain,Extremadura UD,Left,68,73,59,63
Leandrinho,24,Brazil,Rio Ave FC,Right,61,73,66,67
Susaeta,33,Spain,Albacete BP,Right,77,69,73,83
M. Zimmermann,26,Germany,Fortuna Düsseldorf,Right,58,65,55,62
E. Demir,28,Sweden,SV Zulte-Waregem,Left,72,69,70,69
Marco Sangalli,26,Spain,AD Alcorcón,Right,60,75,46,58
T. Hayashi,35,Japan,Sanfrecce Hiroshima,Right,12,8,16,18
R. Bormuth,22,Germany,Fortuna Düsseldorf,Right,20,39,51,37
E. Hernández,31,Mexico,Guadalajara,Left,69,70,65,69
B. Martella,25,Italy,Crotone,Left,77,67,73,65
E. Oikonomou,30,Greece,Panathinaikos FC,Left,69,60,68,70
L. Choutesiotis,23,Greece,Olympiacos CFP,Right,12,20,22,47
J. Blaswich,27,Germany,Heracles Almelo,Right,20,19,34,32
J. Huth,24,Germany,1. FSV Mainz 05,Right,17,22,30,25
I. Sackey,24,Ghana,Alanyaspor,Right,44,60,60,79
Jang Hyeon Soo,26,Korea Republic,FC Tokyo,Right,26,62,39,38
A. Rosati,35,Italy,Torino,Right,11,11,31,21
J. Cabrera,26,Uruguay,Deportivo Toluca,Right,74,73,65,65
Anderson Lopes,24,Brazil,FC Seoul,Left,58,70,55,73
N. Byrne,26,England,Wigan Athletic,Right,69,67,63,56
A. Trajkovski,25,FYR Macedonia,Palermo,Right,64,78,61,77
Alex Geijo,36,Spain,Venezia FC,Right,51,59,50,73
Iván Sánchez,25,Spain,Elche CF,Left,68,72,49,49
J. Carranza,37,Argentina,San Martin de Tucumán,Right,15,20,11,24
E. Ocansey,20,Ghana,KAS Eupen,Left,57,74,58,77
B. Uphoff,24,Germany,Karlsruher SC,Right,11,10,22,20
Wu Xi,29,China PR,Jiangsu Suning FC,Right,60,65,66,75
C. Skuse,32,England,Ipswich Town,Right,59,61,65,66
E. Rexhbeçaj,20,Kosovo,VfL Wolfsburg,Left,70,70,72,67
G. Åsen,27,Norway,Tromsø IL,Left,70,67,63,71
M. Laba,26,Argentina,Estudiantes de La Plata,Right,52,60,64,69
G. Carabajal,26,Argentina,Patronato,Right,59,75,63,63
T. Fontaine,27,Madagascar,Stade de Reims,Left,61,18,49,38
J. Villafaña,28,United States,Portland Timbers,Left,70,64,66,66
B. Tashchy,24,Ukraine,MSV Duisburg,Right,56,68,54,64
J. Vaughan,29,England,Wigan Athletic,Right,55,64,44,71
J. Moya,25,Colombia,Independiente Santa Fe,Right,28,33,47,40
N. Sangaré,24,Turkey,Antalyaspor,Right,62,60,52,55
Kim Kwang Suk,35,Korea Republic,Pohang Steelers,Right,58,51,49,48
M. Rojas,26,New Zealand,SC Heerenveen,Right,60,72,61,69
E. Taşkıran,28,Turkey,Atiker Konyaspor,Right,12,15,14,12
M. Gersbeck,23,Germany,Hertha BSC,Left,18,20,32,20
U. Çiftçi,26,Turkey,Sivasspor,Left,73,71,70,62
Lucas Galvão,27,Brazil,FC Ingolstadt 04,Left,62,66,64,56
B. Riascos,23,Colombia,CD Nacional,Right,59,70,47,75
E. Saveljich,27,Montenegro,UD Almería,Right,30,39,55,47
Tang Miao,27,China PR,Guangzhou R&F; FC,Right,67,59,60,36
J. Mees,22,Germany,1. FC Union Berlin,Right,59,73,54,67
C. Cáceda,26,Peru,,Right,10,11,21,15
O. Fernández,25,Colombia,Puebla FC,Right,68,67,65,68
Jeffrén,30,Venezuela,Grasshopper Club Zürich,Left,72,71,72,66
K. Manneh,23,United States,FC St. Gallen,Right,58,73,53,78
G. Larsonneur,21,France,Stade Brestois 29,Right,18,20,26,20
O. Kúdela,31,Czech Republic,SK Slavia Praha,Right,56,58,68,61
E. Bourgaud,30,France,Red Star FC,Left,69,71,68,68
P. Huspek,27,Austria,SK Sturm Graz,Right,66,69,58,65
G. Maluleka,29,South Africa,Kaizer Chiefs,Right,71,71,70,70
T. Jurić,26,Australia,FC Luzern,Right,56,67,45,71
F. Scaglia,26,Italy,Cittadella,Right,31,58,48,36
David Rodríguez,32,Spain,CA Osasuna,Right,67,63,42,71
H. Kekana,33,South Africa,,Right,61,63,73,88
C. Dibon,27,Austria,SK Rapid Wien,Right,34,44,58,23
R. Petretta,21,Italy,FC Basel 1893,Left,69,64,63,54
M. Scozzarella,30,Italy,Parma,Right,76,68,68,54
M. Kaye,23,Canada,Los Angeles FC,Left,63,68,67,62
Y. Toyokawa,23,Japan,KAS Eupen,Right,45,65,28,66
L. Bittante,24,Italy,Empoli,Right,68,67,60,59
E. Velarde,32,Mexico,Monarcas Morelia,Left,70,60,64,66
D. Jones,33,England,Sheffield Wednesday,Left,71,66,72,61
M. Cahais,30,Argentina,San Martin de Tucumán,Left,48,50,54,64
M. Olivera,20,Uruguay,Albacete BP,Left,70,47,42,28
M. Sax,25,Austria,FK Austria Wien,Right,66,71,57,58
A. Mühling,25,Germany,Holstein Kiel,Right,59,69,65,71
P. Bråtveit,22,Norway,FK Haugesund,Right,15,15,27,21
F. Píriz,28,Uruguay,Montpellier HSC,Right,63,52,64,54
Ricardo Lopes,27,Brazil,Jeonbuk Hyundai Motors,Left,68,68,62,70
P. Hamel,24,France,FC Lorient,Right,40,63,44,71
K. Mączyński,31,Poland,Legia Warszawa,Right,69,67,66,68
M. Hamdy,23,Egypt,,Right,38,38,37,52
R. Pröpper,24,Netherlands,Heracles Almelo,Right,40,51,68,76
C. N'Doye,32,Senegal,Angers SCO,Right,68,64,66,76
Fernando Karanga,27,Brazil,Henan Jianye FC,Right,29,64,54,67
C. Carter-Vickers,20,United States,Swansea City,Right,40,44,52,36
E. Cobbaut,20,Belgium,RSC Anderlecht,Left,70,61,65,45
M. Dąbrowski,31,Poland,Zagłębie Lubin,Right,35,55,63,69
F. Picault,27,United States,Philadelphia Union,Right,62,69,52,71
R. Romo,28,Venezuela,,Right,11,13,33,21
A. Corzo,29,Peru,,Right,69,63,53,59
L. Dickmann,21,Italy,SPAL,Right,67,67,54,45
Luis Pérez,23,Spain,CD Tenerife,Right,62,67,46,51
A. Barkok,20,Germany,Fortuna Düsseldorf,Right,56,80,59,63
M. Watkins,27,Wales,Bristol City,Right,61,69,60,63
H. Arslan,29,Turkey,Sivasspor,Right,63,70,68,74
A. Camargo,29,Argentina,CD Universidad de Concepción,Right,63,59,74,51
F. Müller,20,Germany,1. FSV Mainz 05,Left,12,17,27,23
B. Behrendt,26,Germany,DSC Arminia Bielefeld,Right,43,33,71,84
L. Zingerle,24,Germany,SC Paderborn 07,Right,11,9,13,25
Mei Fang,28,China PR,Guangzhou Evergrande Taobao FC,Right,29,39,50,47
M. Svanberg,19,Sweden,Bologna,Right,68,71,66,71
D. Bernhardt,32,Germany,VfR Aalen,Right,9,12,22,29
K. D'Haene,28,Belgium,KV Kortrijk,Left,72,71,67,60
J. Malagón,25,Colombia,Patriotas Boyacá FC,Right,28,46,32,32
Paulo Fajarda,26,Brazil,Cruzeiro,Right,52,20,48,60
Germán,31,Spain,Granada CF,Right,42,51,61,65
B. Idowu,26,Nigeria,Lokomotiv Moscow,Right,63,57,48,54
B. Mkhwanazi,28,South Africa,,Right,43,39,68,53
Toché,35,Spain,Real Oviedo,Right,52,60,56,69
Hélder Ferreira,21,Portugal,Vitória Guimarães,Right,72,70,65,74
G. Mandjeck,29,Cameroon,,Right,48,63,66,59
S. Morsy,26,Egypt,Wigan Athletic,Right,52,69,67,60
T. Antonis,24,Australia,Melbourne Victory,Right,58,68,67,70
M. Duffy,23,Northern Ireland,Dundalk,Right,68,68,60,61
A. Ndour,24,Senegal,RC Strasbourg Alsace,Left,71,62,68,42
Rafael Costa,27,Brazil,Boavista FC,Left,66,73,70,76
K. Walker-Peters,21,England,Tottenham Hotspur,Right,69,69,60,31
C. Luna,36,Argentina,Club Atlético Tigre,Right,68,59,59,76
J. Bidwell,25,England,Queens Park Rangers,Left,68,59,65,65
F. Noguera,25,Argentina,Estudiantes de La Plata,Right,29,37,44,35
T. Weah,18,United States,Paris Saint-Germain,Right,55,69,55,70
J. Paganoni,29,Mexico,Tiburones Rojos de Veracruz,Right,68,66,62,64
A. Collin,32,France,New York Red Bulls,Right,42,48,66,56
Ripa,32,Spain,CD Numancia,Left,72,59,70,49
Galán,32,Spain,CF Rayo Majadahonda,Right,75,49,59,58
M. Bolados,22,Chile,Universidad Católica,Right,63,71,69,70
Sandro Maceira,26,Brazil,Atlético Paranaense,Right,70,67,75,67
R. Ibarra,23,Ecuador,Minnesota United FC,Right,71,67,66,65
N. Al Shamrani,34,Saudi Arabia,Al Shabab,Right,55,58,54,67
R. Holmes,31,England,Oxford United,Right,66,72,53,60
J. Cordoval,28,France,ESTAC Troyes,Right,63,57,59,26
M. Radović,34,Serbia,Legia Warszawa,Right,62,69,54,58
G. Zigoni,27,Italy,Venezia FC,Right,40,67,35,71
J. Corona,27,United States,Club América,Right,64,69,69,72
W. Bruin,28,United States,Seattle Sounders FC,Right,45,60,49,73
J. Glad,21,United States,Real Salt Lake,Right,27,41,63,34
D. Gordon,33,Jamaica,Karlsruher SC,Right,56,55,59,63
P. Rodríguez,28,Argentina,Moreirense FC,Right,71,72,69,65
E. Konsa,20,England,Brentford,Right,38,66,62,51
O. Darfalou,24,Algeria,Vitesse,Right,50,66,48,68
L. Murphy,28,England,Bolton Wanderers,Right,66,65,69,70
Chuli,27,Spain,Extremadura UD,Left,68,71,59,70
D. Suzuki,28,Japan,Kashiwa Reysol,Right,58,58,64,51
A. Gholizadeh,22,Iran,Sporting de Charleroi,Left,71,69,67,62
I. Ouali,30,Algeria,KV Kortrijk,Left,66,71,59,71
B. Holman,34,Australia,Brisbane Roar,Right,69,67,61,73
J. Gyamerah,23,Germany,VfL Bochum 1848,Right,63,68,62,42
Cai Huikang,28,China PR,Shanghai SIPG FC,Right,41,54,60,59
M. Pittón,23,Argentina,Unión de Santa Fe,Right,58,67,63,56
T. Kuszczak,36,Poland,Birmingham City,Right,16,12,27,23
L. Blessing,21,Ghana,Los Angeles FC,Right,55,74,44,69
D. Meyler,29,Republic of Ireland,Reading,Right,66,63,64,70
J. Czerwiński,26,Poland,Piast Gliwice,Right,30,26,59,57
R. Vilchis,28,Mexico,Monarcas Morelia,Right,68,66,65,68
G. Valsvik,25,Norway,Eintracht Braunschweig,Left,47,35,50,69
A. Giannou,28,Australia,,Right,41,63,53,71
J. Hobbs,29,England,Bolton Wanderers,Right,34,39,60,53
R. Gíslason,30,Iceland,SV Sandhausen,Right,66,69,59,72
C. M'Bengue,29,Senegal,AS Saint-Étienne,Left,69,60,62,56
I. Jiménez,28,Mexico,Tigres U.A.N.L.,Right,67,67,64,60
A. Al Khaibari,32,Saudi Arabia,Al Hilal,Right,40,53,65,68
S. Yatabaré,29,Mali,Royal Antwerp FC,Right,66,70,67,73
J. Lowe,26,England,Bolton Wanderers,Right,65,57,66,63
E. Jelenič,25,Slovenia,Carpi,Right,65,69,64,68
M. Abero,28,Uruguay,Atlético Tucumán,Left,58,54,56,64
A. Teikeu,28,Cameroon,Ohod Club,Left,28,37,29,40
E. Castillo,31,United States,Colorado Rapids,Left,66,72,59,69
M. Wagué,19,Senegal,FC Barcelona,Right,69,71,56,56
P. Klandt,34,Germany,1. FC Nürnberg,Right,12,14,24,20
Farley,24,Brazil,Ettifaq FC,Right,67,73,67,68
Luís Martins,26,Portugal,GD Chaves,Left,73,66,70,80
S. Riether,35,Germany,FC Schalke 04,Right,72,68,65,63
L. Diarte,25,Argentina,San Martin de Tucumán,Left,53,57,35,40
G. Bojanich,33,Argentina,Argentinos Juniors,Right,34,37,58,43
B. Mansilla,21,Argentina,Racing Club,Left,55,69,57,67
Fran Villalba,20,Spain,CD Numancia,Right,66,77,69,48
L. Peltier,31,England,Cardiff City,Right,60,60,55,32
M. Knaller,31,Austria,FC Ingolstadt 04,Right,13,13,14,15
Baena,29,Spain,Melbourne Victory,Right,59,60,65,66
P. Ziegler,28,Germany,Western Sydney Wanderers,Right,28,58,66,47
S. Wangberg,27,Norway,Tromsø IL,Right,43,33,55,62
N. Thomsen,25,Denmark,FC København,Right,66,70,68,65
D. Boer,37,Netherlands,PEC Zwolle,Right,15,14,43,28
D. Hernández,25,Colombia,San Lorenzo de Almagro,Left,68,69,65,66
A. Šporar,24,Slovenia,,Right,68,70,56,69
J. Jantscher,29,Austria,SK Sturm Graz,Right,70,68,69,71
E. Huws,24,Wales,Ipswich Town,Left,64,66,71,70
U. Matić,28,Serbia,FK Austria Wien,Left,58,67,68,70
A. Ashraf,27,Egypt,,Left,65,69,66,66
W. Bakhashwain,28,Saudi Arabia,Al Wehda,Right,48,69,64,71
H. Aiesh,23,Sweden,Östersunds FK,Right,64,77,45,63
S. Prevljak,23,Bosnia Herzegovina,FC Red Bull Salzburg,Right,62,68,57,70
A. Aldrete,30,Mexico,Cruz Azul,Left,65,67,61,67
L. De Bock,25,Belgium,KV Oostende,Left,70,63,63,68
J. Hunt,27,England,Bristol City,Right,67,68,59,70
L. Ceballos,31,Argentina,Patronato,Right,71,66,64,50
Javi Muñoz,23,Spain,Real Oviedo,Right,47,69,73,66
Alson Botelho,30,Brazil,Atlético Mineiro,Right,36,60,66,56
O. De Wolf,21,Belgium,Sporting Lokeren,Left,11,9,21,19
J. Arp,18,Germany,Hamburger SV,Right,36,69,34,66
J. Ardaiz,19,Uruguay,Frosinone,Left,62,67,41,73
L. Moult,26,England,Preston North End,Right,30,61,38,68
Arthur Caike,26,Brazil,Al Shabab,Right,62,67,62,75
I. Rivas,30,Colombia,Junior FC,Right,55,63,68,66
N. Onuoha,31,England,Real Salt Lake,Right,57,53,58,40
Mika,27,Portugal,Os Belenenses,Left,9,19,25,17
V. Klonaridis,25,Belgium,AEK Athens,Right,62,68,63,71
C. Stanković,25,Austria,FC Red Bull Salzburg,Right,16,14,21,22
M. Gómez,24,Colombia,Rionegro Águilas,Left,68,72,64,55
L. Klünter,22,Germany,Hertha BSC,Right,65,66,55,49
A. Farrell,26,United States,New England Revolution,Right,59,65,59,61
G. Tutino,21,Italy,Cosenza,Right,62,73,54,68
E. Kouassi,20,Ivory Coast,Celtic,Right,41,58,68,55
I. Cardona,20,France,KSV Cercle Brugge,Right,56,72,58,70
G. Bruno,26,Belgium,KSV Cercle Brugge,Right,56,71,44,63
D. Accam,27,Ghana,Philadelphia Union,Right,64,74,43,78
Pablo Valcarce,25,Spain,RCD Mallorca,Left,65,72,61,70
Filipe Ferreira,27,Portugal,SK Sturm Graz,Left,75,66,61,66
E. Triverio,29,Argentina,Deportivo Toluca,Right,43,65,40,72
Wellington,25,Brazil,Portimonense SC,Right,64,73,56,70
B. Nehrig,31,Germany,FC St. Pauli,Right,62,57,62,71
F. Campbell,30,England,Hull City,Right,64,68,46,68
M. Yatabaré,32,Mali,Atiker Konyaspor,Right,65,66,61,79
E. Lenjani,28,Albania,FC Sion,Left,75,67,64,69
F. Bredlow,23,Germany,1. FC Nürnberg,Left,8,14,20,14
Y. Takahagi,31,Japan,FC Tokyo,Right,55,67,69,56
D. Arzani,19,Australia,Celtic,Right,65,76,58,53
A. Bencharki,23,Morocco,Racing Club de Lens,Right,66,75,58,66
B. Ampuero,24,Chile,Universidad Católica,Right,44,36,61,42
G. Puşcaş,22,Romania,Palermo,Right,40,70,39,65
C. Chávez,31,Argentina,Club Atlético Aldosivi,Right,55,74,54,69
V. Marcel,21,France,ESTAC Troyes,Left,69,72,68,64
I. Pillud,32,Argentina,Racing Club,Right,65,61,63,71
B. Dja Djédjé,27,Ivory Coast,MKE Ankaragücü,Right,69,69,64,66
M. Bakić,24,Montenegro,Royal Excel Mouscron,Right,69,72,69,75
P. Sané,26,Senegal,AS Nancy Lorraine,Left,42,67,29,69
J. Clarke-Salter,20,England,Vitesse,Left,36,34,59,44
I. Radu,21,Romania,Genoa,Right,13,15,24,22
D. Gibson,30,Republic of Ireland,Wigan Athletic,Right,72,61,76,83
H. Özmert,33,Turkey,Antalyaspor,Right,65,65,67,65
L. Spendlhofer,25,Austria,SK Sturm Graz,Right,50,37,63,66
Pomares,25,Spain,Extremadura UD,Left,63,57,52,52
A. Costa,33,Argentina,San Martin de Tucumán,Left,68,65,72,83
Pedro Porro,18,Spain,Girona FC,Right,73,72,59,68
Y. Stark,27,Germany,SV Darmstadt 98,Right,58,62,63,77
M. Tanković,23,Sweden,Hammarby IF,Right,58,69,54,67
R. Lindgren,33,Sweden,BK Häcken,Right,65,58,63,70
Raúl Llorente,32,Spain,Western Sydney Wanderers,Left,70,59,56,66
M. García,26,Argentina,San Martin de Tucumán,Left,62,70,63,50
M. Kucharczyk,27,Poland,Legia Warszawa,Right,66,66,46,67
M. Havenaar,31,Japan,Vegalta Sendai,Left,38,60,44,70
F. Bahlouli,23,France,LOSC Lille,Right,62,74,65,74
C. Roberts,22,Wales,Swansea City,Right,68,66,55,43
Servando,34,Spain,Cádiz CF,Right,54,38,62,68
Lucas João,24,Portugal,Sheffield Wednesday,Right,45,68,49,77
K. Kodro,24,Bosnia Herzegovina,FC København,Right,59,67,56,72
Lucas Tagliapietra,27,Brazil,Al Batin,Left,28,42,44,38
G. Maroni,19,Argentina,Club Atlético Talleres,Right,64,76,55,58
O. Altman,24,Israel,Panathinaikos FC,Right,62,74,55,68
J. Legear,31,Belgium,Sint-Truidense VV,Right,71,69,68,73
Crislan,26,Brazil,Shimizu S-Pulse,Left,67,62,47,76
S. Hakšabanovič,19,Montenegro,Málaga CF,Right,64,79,59,67
M. Christiansen,21,Germany,DSC Arminia Bielefeld,Right,64,60,65,64
D. Sundgren,27,Sweden,AIK,Right,64,60,60,46
A. Parot,28,Chile,Rosario Central,Left,65,68,60,52
M. Petković,25,Serbia,Spartak Moscow,Right,63,75,58,48
C. Charisis,23,Greece,KV Kortrijk,Right,69,71,68,74
Diogo Coelho,24,Portugal,CD Nacional,Right,41,39,48,46
M. Ibarra,28,United States,Minnesota United FC,Right,63,74,49,67
Riqui Puig,18,Spain,FC Barcelona,Right,60,70,76,60
M. Pereira,30,France,Yeni Malatyaspor,Right,66,69,57,82
Ilori,25,Portugal,Reading,Right,35,58,63,43
M. Zeffane,26,Algeria,Stade Rennais FC,Right,70,62,64,78
Tomás Podstawski,23,Portugal,Pogoń Szczecin,Right,45,64,71,71
Jo Sung Jin,27,Korea Republic,Suwon Samsung Bluewings,Right,48,50,50,37
H. Yamada,29,Japan,Júbilo Iwata,Right,66,69,61,64
Antonaldo Laforte,26,Brazil,Fluminense,Right,52,53,69,65
C. Beck,30,Germany,1. FC Magdeburg,Left,31,47,33,74
E. Rivière,28,France,FC Metz,Right,55,66,52,72
I. Parlak,31,Turkey,MKE Ankaragücü,Right,67,64,64,69
B. Montenegro,25,Paraguay,Club Atlético Talleres,Left,59,68,43,68
V. Demarconnay,35,France,Paris FC,Right,14,15,23,17
A. Ajagun,25,Nigeria,KV Kortrijk,Right,50,69,58,70
G. Madine,27,England,Cardiff City,Right,42,59,39,71
F. Cordero,30,Chile,San Martin de Tucumán,Left,69,68,64,59
R. Stearman,30,England,Sheffield United,Right,34,38,53,50
H. ter Avest,21,Netherlands,Udinese,Right,66,66,57,46
J. Medina,21,Paraguay,New York City FC,Left,67,72,66,69
V. Anita,29,Netherlands,Willem II,Right,55,69,69,61
C. McManaman,27,England,Wigan Athletic,Right,61,77,57,64
Oriol Rosell,25,Spain,Orlando City SC,Right,61,66,70,66
Paulo Daineiro,34,Brazil,Ceará Sporting Club,Right,64,75,50,50
R. Vincelot,32,France,Crawley Town,Right,56,60,66,65
R. Lenis,25,Colombia,Atlético Nacional,Right,66,73,65,66
M. Mier,27,Uruguay,La Equidad,Left,75,72,65,78
Y. de Lanlay,26,Norway,Rosenborg BK,Right,64,68,59,73
J. Gómez,24,Mexico,Querétaro,Right,68,73,63,66
I. Lichnovsky,24,Chile,Cruz Azul,Right,38,49,48,61
C. Muñoz,29,Chile,Unión Española,Right,53,57,57,71
J. MacDonald,32,Scotland,Kilmarnock,Right,21,17,23,21
G. Boyd,32,Scotland,Sheffield Wednesday,Left,68,70,64,72
E. Lichaj,29,United States,Hull City,Right,60,65,53,61
M. Wittek,29,Germany,1. FC Heidenheim 1846,Right,33,41,45,66
C. Jenkinson,26,England,Arsenal,Right,71,67,64,72
A. Öztürk,24,Belgium,Göztepe SK,Right,65,65,64,76
J. Pérez,27,Colombia,Pachuca,Right,62,72,61,71
Zhang Chengdong,29,China PR,Hebei China Fortune FC,Right,68,70,53,73
