Name,ShortPassing,Dribbling,LongPassing,BallControl
A. Gogia,67,73,56,75
A. Cole,70,70,70,72
K. Tsimikas,68,71,65,68
Mateus,68,77,61,68
Babanco,73,70,70,71
X. Mercier,68,68,66,68
D. Nugent,61,66,45,74
N. Fernández,15,19,22,15
O. Hernández,64,76,49,73
E. Mathoho,51,46,57,63
B. Sarr,64,59,65,66
A. Sagal,66,65,59,66
J. Grimm,68,55,68,66
M. Nyatama,75,73,67,75
B. Touré,68,61,67,72
Diego González,65,57,67,59
S. Rosted,64,58,62,59
Y. Suzuki,73,68,60,68
I. Sacko,67,71,55,70
Flavio Paixão,69,73,62,71
G. Fernández,74,69,72,71
J. Hayes,68,74,60,70
T. Ouwejan,72,71,67,69
D. Guerrero,70,70,71,71
W. Routledge,72,73,70,73
C. Paterson,68,66,68,67
Hwang Ui Jo,64,70,57,68
G. Kvilitaia,62,74,55,70
R. Krishna,62,72,60,72
T. Castagne,71,73,68,73
Léo Jardim,27,18,24,18
Heitor Gesse,71,61,58,64
L. Majer,69,74,68,74
R. Carrera,59,71,59,72
B. Celina,69,76,64,74
R. Matarrita,67,71,63,69
L. Vitale,70,64,67,70
R. Gestede,59,65,50,70
Pedro López,71,68,64,71
J. Lucumi,65,50,61,63
W. Endo,71,67,75,70
João Bardinho,72,73,68,73
F. Barrientos,74,68,72,70
P. Glykos,21,16,21,18
C. Moritz,71,71,68,72
E. Kachunga,66,72,54,71
S. Mendoza,59,73,52,71
Diego Galo,56,42,39,56
Lins,56,72,45,70
G. Pegolo,35,11,21,20
U. Bulut,57,64,51,63
Dani Calvo,66,43,56,61
Alam Araújo,71,71,71,62
F. Andrijašević,71,71,65,73
I. Fiolić,71,71,66,73
M. Caire,53,68,57,63
C. Adams,63,71,53,73
P. Škuletić,58,52,31,68
G. Lux,12,11,29,35
P. Kieszek,31,14,39,15
B. Cortés,25,13,23,25
S. Nishikawa,34,29,37,27
M. Lustig,72,66,68,71
A. Bjelica,73,75,73,74
G. Alcoba,59,45,46,60
J. Rhodes,52,59,40,66
J. Campos,72,72,64,78
Borja Lasso,71,74,69,72
O. Cabezas,60,56,50,59
G. Sunu,70,74,64,73
D. Williams,71,76,67,68
Nuno Santos,67,76,62,74
N. González,62,77,50,74
M. Boland,72,71,68,71
M. Bianchetti,50,40,52,52
G. Celis,70,65,70,68
Somália,71,71,67,68
Y. El Ghanassy,68,80,65,75
E. Finlay,67,68,54,70
A. Uchida,74,74,73,75
N. Brighenti,55,48,52,55
I. Tajouri-Shradi,66,73,57,74
S. Abdullahi,59,72,19,70
Lionn,67,66,58,69
J. Larsson,69,65,67,65
T. Pachonik,64,64,59,69
F. Bellugou,70,64,64,71
Osmar,67,51,72,59
S. Motta,77,67,76,78
Pau Torres,70,51,62,70
André Pereira,63,65,46,68
Tiago Sá,16,18,29,25
M. Coda,64,68,39,70
W. Mesloub,73,70,71,71
M. Capuano,59,53,59,55
A. Henríquez,58,27,64,43
G. Dorrans,74,69,71,72
Víctor Díaz,69,64,56,69
T. Makino,68,64,62,64
J. Mensah,70,46,67,55
I. Sylla,75,70,67,71
Cyriac,67,70,44,68
Bernardo,69,31,57,59
P. Gollini,31,18,25,24
M. Vlap,70,73,59,73
Tiago Pombeira,70,74,63,70
Y. Soteldo,74,76,66,74
Rafa López,67,48,66,56
A. Nocerino,76,65,75,71
J. Harper,63,68,53,72
R. De Laet,63,69,60,68
J. Zimmer,71,69,59,70
C. Săpunaru,62,66,64,66
Afonso Figueiredo,67,69,61,69
J. Omlin,45,27,35,31
R. Yaremchuk,68,67,59,69
F. Wiedwald,41,14,32,32
A. Galabinov,66,65,50,67
Maikel Mesa,71,71,68,72
B. Garnica,72,72,62,74
D. Arslanagic,65,30,63,61
H. Henao,68,65,75,64
Y. Kashiwa,66,74,58,69
J. Gol,72,70,69,68
N. Ghilas,64,70,50,72
B. McKay,69,72,65,70
Carraça,73,68,69,69
Adriano Facchini,28,17,18,27
A. Callens,69,42,69,56
J. Perbet,63,53,32,64
M. Antonsson,59,69,54,66
Carlitos,75,73,68,76
C. Lucchetti,34,24,32,35
J. Bostock,74,71,76,72
V. Milinković-Savić,31,15,30,18
G. Peñalba,72,69,73,71
L. Kleinheisler,73,71,66,68
R. Aliendro,71,72,64,71
L. Seijas,72,67,74,72
L. Fuentes,69,67,67,68
R. Hassan,66,75,60,71
L. Di Plácido,65,76,55,68
Heriberto Tavares,64,75,56,73
Pulido,67,39,43,65
Ewerton,74,71,70,74
G. Verón,67,71,58,69
O. Boscagli,71,69,65,71
C. Jerome,56,63,39,66
E. Muñoz,60,38,55,54
U. Đerić,57,63,37,65
E. Albayrak,70,70,67,70
F. Calvo,65,64,66,64
F. Costa,75,70,70,73
Xavi Torres,72,58,68,69
A. Cadavid,61,45,53,46
J. Spector,68,56,63,68
Felipe,62,52,62,63
M. Dijks,66,66,69,67
M. Hassen,24,13,23,24
M. Bourabia,77,72,75,72
L. Hejda,61,47,44,53
E. Bergström,51,34,53,51
Shikabala,64,77,61,75
Aurélio Buta,64,76,49,73
C. Penilla,68,72,61,69
D. Cools,70,69,74,71
D. Muñoz,61,66,56,58
G. Sandoval,71,73,62,67
Y. Bodiger,71,66,69,68
T. Kleindienst,60,67,45,59
J. Abella,69,57,61,67
U. Emanuelson,70,71,68,72
R. Tesche,72,68,70,72
B. Nivet,75,68,72,76
Léo Jabá,66,76,60,72
Paulo Henrique,60,72,56,71
Y. Meriah,67,57,68,62
A. Soto,64,75,44,71
J. Quiñones,66,71,57,70
Domingos Duarte,65,48,44,55
E. Başsan,70,73,67,73
F. Avenatti,55,70,36,69
V. Fiorillo,28,14,25,19
O. González,66,55,63,61
Zheng Zhi,71,70,68,77
M. Henriksen,70,67,68,72
Paulolettinho,72,75,66,71
S. Malezas,58,44,56,58
W. Lautoa,63,23,58,62
M. Fofana,62,78,56,73
J. Cornejo,67,67,63,64
J. Duque,62,66,57,71
E. Horvath,31,16,30,22
J. McClean,68,74,65,72
A. Guédioura,73,75,77,72
E. Valentini,71,72,62,71
J. Šimunović,62,56,56,60
C. Kouamé,65,70,52,69
N. De Pauw,71,71,68,71
Alex das Freitas,67,63,75,68
Mossa,69,65,66,67
J. Marriott,61,61,36,63
J. Riojas,66,73,51,70
L. Fröde,69,58,67,68
L. Pokorný,55,53,59,62
D. Vavro,68,52,64,61
M. Bjärsmyr,50,37,53,53
Oriol Riera,67,67,57,68
M. Maolida,68,78,57,74
M. Mostefa,72,59,69,65
R. Carrascal,72,59,74,73
O. Mangala,74,77,68,76
M. Barthelmé,73,72,64,69
A. Novikovas,68,72,62,69
Ji Dong Won,64,74,54,71
R. Rúnarsson,16,13,15,32
D. Rotariu,68,77,62,73
Paulinho,68,76,65,74
Juan Carlos,72,71,64,70
M. Korhut,56,66,53,69
S. Piette,70,60,64,65
N. Ortigoza,78,62,78,74
António Filipe,15,11,16,13
M. Pereira Lage,72,69,69,72
Jean Cléber,72,68,68,70
O. Danchenko,68,74,67,68
C. Pantilimon,38,15,36,22
Guillermo,66,71,51,74
O. Vizcarrondo,60,26,64,42
E. Aguirre,72,68,70,70
Edu Machado,57,68,30,71
H. Dean,64,44,61,59
D. Andrade,64,64,67,63
D. Martínez,67,67,59,68
C. Bryson,73,65,67,71
B. Başaçıkoğlu,64,75,42,75
K. Mrabti,72,73,69,75
M. Fraga,52,11,60,11
I. Oblyakov,73,76,72,75
S. Logan,67,69,58,67
D. Kaiser,72,68,68,72
D. Silva,71,68,70,69
A. Nwakaeme,68,77,58,69
J. Sambenito,57,60,42,63
Toribio,71,49,62,56
M. Yumlu,62,43,59,51
A. Milošević,67,56,65,59
D. Nounkeu,59,59,60,65
M. Barragán,65,68,55,70
M. Ilaimaharitra,69,63,67,67
H. González,36,16,23,19
J. El Yamiq,58,55,59,58
João Teixeira,71,74,67,73
M. Doumbia,69,73,64,68
R. Brégerie,61,46,60,55
A. Diallo,34,15,25,17
M. Bruno,70,74,66,72
J. Faussurier,74,55,73,71
C. Wickham,62,67,57,70
A. Abrashi,65,60,59,63
K. Nakamura,24,12,23,18
Suso Santana,63,75,50,74
J. Bowen,66,73,54,71
Garrido,69,49,62,61
E. N'Dicka,65,56,62,63
J. González,73,73,65,72
M. Suárez,67,53,65,42
Y. Andreu,68,67,63,71
J. Obita,69,67,70,71
Z. Erdal,62,60,64,62
L. Capezzi,76,64,74,72
Elsinho,68,74,60,75
D. Asprilla,67,77,66,74
S. Torrico,23,17,18,22
Léo Gamalho,66,66,48,69
J. Plašil,77,69,75,76
T. Darikwa,65,69,54,66
Guilherme Sityá,68,68,66,70
Escassi,72,57,61,71
G. Achilier,51,43,37,53
Verza,76,62,79,74
B. Salamon,67,52,71,66
A. Forshaw,76,71,72,74
J. Quiñones,41,31,64,55
W. Camacho,64,73,62,70
T. Buffel,72,70,68,72
Xisco,60,64,37,70
Adeilson Gesser,72,68,42,74
Roderick Miranda,63,51,59,58
N. Besara,71,71,63,71
D. Zbozień,59,60,63,63
J. Cuero,65,69,58,68
R. Coly,68,66,63,67
K. Müller,21,17,20,18
R. Zozulya,67,61,42,64
R. Mphahlele,64,64,67,72
K. Lee,74,68,68,72
B. Koita,63,74,52,72
Heltinho Melo,68,75,64,71
Nascimentardo,72,73,62,75
P. Barrera,68,72,65,71
R. Pucino,67,67,65,63
Miguel Rodrigues,66,50,50,59
C. Pinares,67,73,66,72
A. Gonçalves,74,65,73,70
K. Musona,67,74,65,71
Tiago,73,72,70,72
N. Leiva,68,75,62,71
A. Schiavone,75,68,68,72
Manuel da Costa,52,50,58,56
S. Hierländer,71,72,67,71
Bruno Alves,62,64,71,63
J. Velázquez,50,50,48,50
M. Chanot,62,29,53,61
O. McBurnie,65,70,37,68
J. Onomah,74,73,68,73
M. Madl,65,52,63,61
Cucurella,72,71,66,74
C. Araujo,69,76,66,76
M. Hartmann,62,52,63,56
M. Spiranovic,67,22,54,52
Chong Te Se,67,64,58,66
M. Albornoz,74,75,70,73
A. Nukan,64,57,68,59
L. Szukała,64,39,60,55
E. Perlaza,72,57,56,58
M. Dal Hende,66,70,66,70
Emerson Avintes,74,68,65,74
Saberto Botelho,68,52,66,62
J. Dahlin,24,11,32,24
Martin Cordeia,74,67,75,75
A. Oukidja,24,14,27,12
B. Angulo,56,76,33,71
S. Burchert,23,11,22,20
Nélson Monte,64,53,64,60
D. Rojas,71,73,67,71
Charles,22,20,18,24
H. Wolf,67,78,63,75
E. Videla,72,70,70,70
P. Ledesma,81,66,74,70
R. van Drongelen,67,44,65,60
F. Jensen,70,75,63,74
Artur,71,72,68,73
Edgar Costa,64,74,58,72
S. Martínez,71,66,67,67
D. Fisher,57,65,50,66
L. Clarke,60,62,54,68
T. Hubočan,63,50,57,56
Dani Castellano,72,72,62,69
Javi Castellano,76,46,71,66
P. Olkowski,70,71,58,70
M. Caligiuri,68,62,69,66
Marlion Rolim,68,64,65,73
D. Burn,59,47,60,53
S. Schwab,71,66,76,72
O. Aina,66,72,53,69
A. Mina,64,47,57,61
S. Guirassy,66,74,47,75
L. Paqarada,68,67,66,71
J. Sánchez,70,72,65,71
J. Wallace,68,71,66,70
Jota,73,70,70,73
Jesús Imaz,68,69,61,68
Dani Hernández,41,12,39,34
K. Diatta,64,75,47,71
X. Chavalerin,72,63,73,70
G. Tzavellas,67,57,70,69
O. Omoijuanfo,64,68,57,68
S. Dimitrievski,23,18,27,19
Eltildo Bessa,61,73,43,75
B. Marshall,67,71,72,72
N. Mendez-Laing,63,77,57,72
Álex Martínez,70,67,66,71
Z. Bakkali,69,78,53,75
G. Gimbert,68,63,60,67
M. Gajić,70,70,60,69
S. Aigner,72,73,60,72
P. Köpke,67,69,49,71
F. Klos,54,62,32,65
K. McLean,72,73,75,73
M. Olsson,66,68,65,70
C. Nyman,66,68,45,69
O. Estupiñán,56,69,47,71
B. Wright,60,53,44,63
J. Bednarek,67,40,47,55
L. Vibe,66,65,44,66
O. Jiménez,25,15,31,24
Alejandro Rodríguez,59,68,49,70
T. Elphick,64,50,50,62
David Ferreiro,70,73,71,70
M. Gobbi,71,68,71,69
R. Insigne,73,72,70,71
N. Gyömbér,54,43,53,55
Túlio Sandoiro,64,74,58,75
Hélder Barbosa,64,76,61,75
B. Sako,63,73,61,69
M. Domizzi,50,40,55,50
P. Oniangué,68,65,66,69
P. Onuachu,68,72,62,70
F. Balmont,74,67,71,71
Antoñito,67,67,49,68
A. Baby,68,71,66,67
B. Petković,72,76,66,80
Nélson Lenho,74,71,65,70
Gumbau,81,64,79,77
C. Aboagye,79,75,74,78
Y. Erdoğan,61,76,54,75
Paulinho,69,69,65,69
J. Cooper,57,45,60,56
S. Malone,67,70,64,68
M. Maloča,52,30,36,42
G. Berardi,64,60,57,60
Samu García,71,71,64,73
T. Derijck,65,43,68,65
A. Khalili,72,72,68,74
Y. Endo,75,69,74,73
E. Kaçe,71,67,71,73
D. Machado,69,72,60,69
S. Plavšić,67,74,57,71
H. Reed,74,64,66,67
S. Klaiber,63,61,60,63
J. Boga,65,79,60,73
D. Contento,70,70,66,70
S. Padoin,75,74,72,75
D. Foulquier,67,78,59,69
Paco Montañés,65,74,60,66
T. Dingomé,71,70,70,70
D. Kądzior,69,71,67,70
E. Taşdemir,64,74,65,72
P. Coutts,75,65,72,72
D. Dumić,65,41,61,54
Juan Carlos,25,13,27,22
S. Privat,65,59,51,69
G. Montiel,68,60,58,66
João Gamboa,72,72,74,74
A. Zhirov,54,45,47,33
M. Tosetti,71,68,68,70
André Milazisco,19,8,13,21
M. Colin,64,68,66,70
F. Jozefzoon,63,74,61,70
D. Moor,70,59,70,69
A. Turan,65,57,63,58
O. Bayram,69,75,54,74
S. Bossut,36,11,38,32
J. Irvine,69,67,65,71
D. Biraschi,65,49,58,67
A. Bouchalakis,75,66,77,71
A. Voglsammer,66,65,36,67
Son Jun Ho,76,62,74,65
A. El Said,72,71,69,74
A. Yiadom,62,72,55,67
W. Sobota,64,73,57,72
I. Latovlevici,71,66,66,65
B. Leal,73,69,73,71
E. Zelazny,37,12,28,34
A. Brignoli,36,12,42,23
K. Narey,68,69,55,67
M. Pugh,69,75,59,74
S. McTominay,75,65,69,73
Fabrício Baiano,70,63,64,68
F. Navarro,67,66,63,68
R. Bajić,64,66,40,72
M. Le Bihan,55,71,54,71
A. Rentería,65,76,52,74
A. Leya Iseka,61,71,42,71
André Moreira,24,12,25,17
C. Gülselam,68,57,63,64
M. Rodríguez,66,69,64,73
G. Litteri,60,59,48,68
Raphael Rossi,58,46,42,52
B. Kamara,15,19,15,21
R. Oshima,75,70,68,75
L. Bruins,74,74,70,75
N. Kebano,67,73,61,74
Wiliam Santinho,20,9,16,21
L. Sadiku,73,53,70,68
Y. Barbet,67,63,73,67
Javi Moyano,63,58,49,66
J. McLaughlin,27,16,41,23
M. Büchel,73,72,70,73
B. Oviedo,68,72,64,72
J. Osorio,75,73,66,72
Wagner Orsinho,73,61,71,64
J. Elías,72,67,69,71
Evandro,74,70,69,74
Manu Morlanes,78,72,71,75
K. Großkreutz,69,63,67,67
T. Kessler,23,14,33,21
M. Beevers,52,36,45,60
D. Gastaldello,59,52,62,58
P. Faragò,74,70,74,74
C. Ramírez,56,49,69,62
I. Bennacer,72,73,70,73
O. Coulibaly,70,63,59,72
Alex Alegría,65,71,39,77
C. Adjapong,70,75,65,77
Dorado,72,40,61,51
J. Walters,71,70,63,71
A. De Sart,72,67,73,71
Luisinho Conradi,66,75,68,76
B. Özcan,74,76,65,75
P. Bamford,67,70,60,74
R. López,72,72,70,68
F. Monteseirín,60,60,51,63
A. Calabresi,48,44,42,48
J. Léa Siliki,75,73,69,74
J. De Sart,72,65,73,68
M. Sylla,68,71,36,70
K. Boli,52,34,48,54
D. Avdijaj,64,75,62,74
Nauzet,21,16,20,22
G. Molins,68,72,56,73
M. Hector,62,60,58,59
S. Andersson,60,59,31,58
F. Erpen,62,46,57,63
F. Meza,64,59,61,64
D. Lemos,64,60,66,62
Z. Kuzmanović,70,64,74,71
Lisandro Semedo,64,73,62,79
J. Prior,35,18,37,22
V. Salazar,65,70,59,63
A. Diomande,56,65,43,68
A. Niane,69,68,38,67
Stephen Eustáquio,76,71,73,72
W. Montoya,64,78,65,69
Kadu,59,26,35,49
D. Bentley,44,17,23,30
B. Drągowski,35,20,32,18
G. Mancini,53,41,40,53
T. Clarke,42,26,41,44
F. Boeckx,37,15,37,34
Adryan,69,76,68,75
M. Grüttner,62,62,33,68
J. Cevallos,71,70,68,73
L. Acosta,25,14,22,15
M. Guendouzi,74,69,75,68
F. Nita,23,18,22,11
P. Ebert,74,69,77,71
D. Marshall,21,14,29,21
K. Peterson,67,78,59,74
S. Lammers,62,72,43,73
A. King,72,69,67,69
P. Mwene,66,69,53,67
Andrei Girotto,75,67,66,71
Danilo Silva,69,58,60,67
B. Kuscevic,65,56,62,54
D. Sallói,69,69,63,72
Ukra,67,75,66,72
B. Acosta,56,45,60,60
Tramontinaldo,74,61,71,72
S. Hernández,74,69,70,72
L. Lacroix,68,52,66,60
A. Godoy,79,69,77,69
N. McGinn,63,72,53,72
T. Boyd,64,76,41,72
M. Eikrem,76,69,76,71
Kang Hyeon Mu,29,20,22,10
H. Toledo,68,75,67,73
M. Lacen,80,67,76,72
E. Adu,73,66,74,79
L. Antei,52,40,53,55
Adriano,62,70,49,70
N. Foor,69,72,63,72
C. Quintana,67,42,63,62
Ângelo Neto,72,72,71,74
A. Tinnerholm,67,66,62,65
V. Verre,75,70,68,73
I. Provedel,29,16,23,18
R. Herrera,59,47,50,43
J. Féret,72,69,73,73
J. Attamah,69,51,66,55
Bremer,66,55,54,60
Dorca,69,58,66,70
Defendi,59,38,51,61
Jonas,74,54,58,60
P. Armero,71,71,69,70
H. Van Der Bruggen,72,64,71,71
L. Garritano,65,75,58,76
K. Balanta,69,58,71,70
Silvosinho,69,43,63,76
Tony Muttinho,72,61,71,67
D. Petratos,63,69,64,72
Manu Barreiro,69,68,50,74
R. Köse,42,20,34,19
Oier,68,64,65,68
N. Rimando,39,16,39,37
J. Arzura,66,58,67,64
S. Davis,75,69,71,73
Nacho Vidal,71,68,65,70
M. Samudio,67,70,56,71
M. Martin,72,69,72,73
F. Cubero,66,60,63,68
R. Baca,72,68,70,70
Ivo Pinto,66,68,61,65
S. Doukara,70,75,55,70
Y. Shakhov,70,72,66,73
O. Çek,70,70,71,73
O. Zinchenko,77,76,76,76
S. Limbombe,65,73,57,69
K. Galanopoulos,74,70,67,73
Feng Xiaoting,70,42,73,51
M. Jevtovic,75,59,73,65
Arroyo,65,45,42,58
Joel Pereira,36,11,20,20
Xavier,67,73,59,72
E. Remedi,71,59,69,67
L. Mareček,72,67,69,74
C. Martina,65,62,60,64
K. Sugimoto,66,66,56,68
A. Wilkinson,68,42,59,60
Mano,66,69,55,67
B. Rienstra,72,67,69,72
Z. Kalmár,71,71,66,73
P. Aquino,71,60,72,71
R. Faty,71,63,68,74
M. te Wierik,66,57,64,62
J. Callsen-Bracker,68,40,66,60
J. Isijara,73,71,63,73
R. Torres,55,34,63,55
M. Çelik,68,65,59,67
B. Sharp,65,58,53,67
T. Tomiyasu,59,58,64,67
G. Thorne,74,64,74,68
O. Rashid,74,72,73,73
M. Al Owais,25,14,23,17
S. Palacios,65,74,60,68
D. Benlamri,69,44,64,58
O. Haddadi,69,64,57,68
N. Katić,60,56,56,61
S. Thern,71,66,67,71
N. Bitton,72,67,72,69
A. Søderlund,60,63,53,66
A. Ateef,75,58,77,75
E. García,65,69,60,69
Alexandre Guedes,68,69,61,72
R. Hilbert,74,69,69,72
Álvaro Lemos,67,68,59,68
Flávio,51,42,37,46
Pombaxinho,62,45,61,55
R. Sawyers,76,68,73,74
D. Lekić,72,66,45,62
N. Champagne,18,12,25,15
Fábio,71,70,65,72
Deivid,70,64,59,67
B. Hämäläinen,73,67,75,69
S. Dubarbier,61,72,62,67
L. Cavanda,63,72,62,73
Patrick,68,67,57,69
C. Cisneros,62,73,56,74
J. Brownhill,69,68,67,71
Heitinho Zanon,48,22,44,48
J. Bolingi,66,69,47,70
E. Conde,19,13,25,21
T. Hemed,61,63,44,73
L. Krajnc,64,56,61,64
P. Terracciano,27,15,21,22
N. Pasquini,71,72,66,71
G. Acosta,73,68,71,69
Fernando Boldrin,75,67,72,72
Fidel,65,74,62,73
M. Rodriguez,72,75,64,76
K. Sema,68,76,59,73
Y. Candelo,70,72,61,70
R. García Guerreño,65,45,53,51
A. Maitland-Niles,74,73,69,72
Nathael Silbeira,16,18,17,22
Marco Rocha,40,32,37,35
S. Colombi,36,10,35,23
Unai Medina,60,57,59,64
Jair,65,71,62,70
J. Lynch,55,47,60,62
C. Fai,62,66,59,64
M. Rygaard,70,71,66,70
M. Djenepo,64,77,59,72
M. Männel,34,18,36,31
M. Dawson,57,17,66,59
Cristian López,58,66,31,71
A. Esiti,68,53,61,54
O. Govea,73,68,71,73
Eduardo Fonseira,15,8,9,9
R. Beerens,70,74,57,73
Sebas Coris,70,71,68,70
B. Róchez,59,66,44,64
Carlos Martínez,72,64,71,72
Cao Yunding,71,73,60,74
Eguaras,74,64,73,67
O. Pérez,26,12,27,23
J. Siebenhandl,31,13,20,30
A. Kolomeytsev,77,69,73,72
Crivellaro,72,72,69,70
L. Lollo,73,71,69,73
S. Maguire,58,73,40,71
Cafú,72,70,69,71
Zapater,70,63,74,70
J. Botaka,61,80,44,74
J. Böðvarsson,63,67,61,72
N. Sarenren Bazee,68,75,52,69
R. Bianco,74,63,73,71
O. Adın,69,71,67,67
A. Pešić,71,67,49,68
G. Hendrickx,71,61,70,66
J. Hochscheidt,72,70,70,68
J. Cabezas,70,62,59,62
Jony Reitosa,59,48,55,62
P. Šteinbors,43,16,35,21
K. Çörekçi,67,72,66,69
J. Murphy,66,75,55,74
R. Gagliolo,61,48,55,61
D. Solanke,70,73,58,75
F. Sacko,64,67,56,68
J. Sýkora,64,71,62,69
D. de Buen,72,58,69,66
F. Veseli,64,62,56,65
A. González,68,72,59,68
D. John,68,74,62,70
D. Ousted,26,15,38,20
A. Preciado,67,73,69,68
Filipe Chaby,65,76,54,74
F. Torijano,60,37,49,54
J. Valenzuela,63,49,50,59
Barbosaldinho,50,22,47,52
Santi Comesaña,74,63,65,73
Luís Machado,66,74,57,72
Han Chan Hee,71,70,70,71
D. Geiger,79,72,72,79
F. Bradarić,77,61,75,73
L. Figueroa,71,69,67,73
K. Stuhr-Ellegaard,40,14,35,25
F. Zampano,68,71,60,70
U. Hünemeier,65,50,60,61
A. Canelo,67,73,58,72
F. Ogier,55,40,50,62
Luiz Antônio,71,71,65,73
J. Maclaren,61,67,50,67
G. Þórarinsson,75,75,78,75
B. Leroy,23,14,14,18
M. Sampirisi,65,55,62,66
C. Higuita,71,64,65,67
Wilson Manafá,70,71,50,70
B. Barišić,69,66,67,70
João Lucas,71,68,68,64
V. Kadlec,59,67,55,67
S. Lundevall,64,71,56,73
Alberto Benito,62,65,59,64
H. Mendyl,64,73,53,72
J. Paintsil,66,73,55,72
T. Martínez,71,74,60,72
M. Thorsby,69,68,65,68
B. Berisha,66,65,32,67
Ramón Folch,71,64,67,69
S. Janko,64,65,50,64
Nano,64,68,46,71
C. Ganea,62,62,62,65
Braga,75,72,72,75
A. Hutton,61,66,68,68
G. Campi,69,65,69,64
De las Cuevas,69,71,67,73
A. Feick,65,63,55,61
Edson Farias,63,74,49,71
Lucas Possignolo,64,44,45,55
G. Makaridze,14,25,12,28
Kim Bo Kyung,70,65,68,67
M. Michel,24,12,26,14
O. Kemen,73,73,69,72
M. Saito,65,77,53,72
M. Kelemen,29,12,24,24
Lourival Dinisco,61,41,71,52
Jairo Farnias,18,7,15,8
P. Anton,69,49,80,72
S. Popov,67,65,62,63
Y. Kakitani,69,70,59,72
E. Rolland,71,72,68,70
G. Suazo,70,70,68,72
E. Falkenburg,65,66,62,71
L. Landre,65,48,52,59
S. Vergini,66,60,61,64
Carlos Gutiérrez,63,32,55,62
J. Bokila,63,61,44,70
T. Kristensen,73,64,70,68
G. Bellusci,60,59,61,60
H. Nielsen,67,70,49,71
C. Ramirez,62,66,51,74
D. Cabrera,74,65,70,71
G. Mackay-Steven,64,74,53,71
F. Platte,59,64,42,68
P. Pentke,30,25,22,30
M. Liendl,73,67,69,71
F. Seymour,72,65,69,68
R. Ripart,65,70,61,72
Gerard Valentín,68,75,61,78
F. Schultz,70,67,67,68
L. Trałka,66,55,66,61
A. Dona Ndoh,56,67,52,60
M. Yattara,65,70,49,69
R. Nelson,56,79,50,73
M. Torrén,63,53,69,52
S. Kerk,70,73,63,73
B. Davies,65,57,63,62
Iago,57,47,46,58
Victor Fachinhas,20,9,18,17
K. Leerdam,69,66,65,70
Javi Ros,73,59,69,71
C. Şahin,60,78,55,74
M. Matos,64,57,51,66
William,71,71,71,70
J. Delaplace,72,66,68,70
C. Janker,54,42,41,54
B. Heynen,77,71,71,73
Bismark,61,70,60,69
Ortuño,58,71,41,67
M. Azira,73,64,66,68
J. Rodríguez,65,39,48,63
F. González,65,70,61,73
M. Falzerano,69,75,65,72
C. Ascues,69,63,67,67
Akapo,68,54,62,64
M. Friedrich,65,38,67,55
David Fernández,64,41,66,61
R. Ziegler,71,66,72,71
A. Ábalos,74,71,69,72
V. Sarı,65,68,60,70
D. Keet,33,22,43,32
N. Leyes,68,58,61,62
P. Hatzidiakos,74,52,64,63
J. Makengo,76,72,70,74
D. Opare,63,70,56,67
D. Schmidt,54,48,60,52
L. Castaignos,67,67,58,69
R. Azeez,72,60,68,70
D. Antolić,73,68,71,71
D. Jevtić,70,68,65,68
Y. Kobayashi,73,72,68,75
E. Seka,60,40,40,58
M. Volta,52,39,50,52
Aridane,55,30,53,54
B. Schenkeveld,65,62,66,68
Allan Ardaújo,73,66,68,75
M. Bero,69,71,63,71
C. Chantôme,73,69,70,74
D. Hoesen,57,68,43,71
A. Machado,60,45,40,59
Rodolfo,65,74,63,75
M. Targett,66,69,62,70
R. Dwamena,65,70,44,66
K. Laribi,72,72,67,74
Bruno Nascimento,60,52,52,58
J. Souttar,65,62,70,69
L. Faravelli,69,71,67,69
O. Okwonkwo,74,77,61,78
D. Zuma,74,80,58,71
J. Busk,24,15,22,15
D. Delgado,65,65,55,67
N. Mihajlović,65,77,58,74
Lucas Áfrico,60,50,53,56
D. Lévêque,70,57,59,70
R. Himmelmann,32,18,21,27
Y. Kashiwagi,75,64,73,72
A. Rrahmani,48,27,22,42
P. Sagna,68,62,64,64
J. Archer,30,20,26,24
M. Pedersen,55,61,32,62
P. Helland,68,71,65,70
Y. Moreno,67,73,63,70
K. Hämäläinen,70,65,63,71
S. Pocognoli,66,69,64,67
G. Leadbitter,73,59,66,72
H. Quiñones,69,72,54,70
Ansel Barnisco,71,64,72,61
I. El Adoua,68,54,64,63
J. Angulo,71,66,71,70
J. Berthomier,72,67,70,67
E. Rolón,73,57,71,74
A. Frączczak,67,66,63,64
R. Wolski,70,69,69,70
J. Pearce,49,40,54,46
N. Moro,76,75,80,73
B. Aouacheria,66,75,58,74
J. McEachran,76,70,74,75
P. Wszołek,67,68,64,70
L. Baker,72,70,73,72
Alfonso Herrero,35,12,40,20
A. Măţel,64,67,70,68
K. Rosenberry,69,64,64,69
L. Thy,66,67,46,68
Koo Ja Ryong,57,36,49,55
D. Fry,59,46,46,62
R. Leeuwin,66,39,65,61
R. Fernández,64,69,62,66
A. Timofeev,69,56,62,68
Rodrigo Pinho,63,70,50,75
H. Vaca,67,73,66,64
J. Worrall,58,28,52,43
A. El Jadeyaoui,68,73,58,70
M. Eriksson,68,67,63,68
Y. Kalfa,71,75,66,73
C. Vilches,64,57,63,55
C. Dessers,65,64,49,66
A. Kara,72,66,68,66
C. Dunkley,57,45,50,57
F. Deli,72,68,70,71
